-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|PurchReq    |Item  |ReqDate     |Material  |Created     |ShortText                                   |PO      |Quantity  |Plnt  |PGr  |Blank1  |D  |Requisnr   |ProcState   |Estado          |Observaciones                |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Sol.pedido  |  Pos.|Fe.solic.   |Material  |Creado por  |Texto breve                                 |Pedido  |  Cantidad|Ce.   |GCp  |        |B  |Gestores   |Stat.trat.  |                |                             |
|  1300139397|    10|  16.12.2025|  80035823|OSCAVILN    |PAQUETE DE PLUMON DOBLE PUNTA               |        |         1|CC04  |BLO  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139397|    20|  16.12.2025|  80035824|OSCAVILN    |MARCADOR PUNTA PINCEL                       |        |         1|CC04  |BLO  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139397|    30|  16.12.2025|  80035825|OSCAVILN    |PAQUETE RESALTADOR ESCARCHADO               |        |         1|CC04  |BLO  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139397|    40|  16.12.2025|  80035826|OSCAVILN    |KILO DE VINILO                              |        |         6|CC04  |BLO  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139397|    50|  16.12.2025|  80035827|OSCAVILN    |PAQUETE MARCADOR TIZA LIQUIDA               |        |         2|CC04  |BLO  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139397|    60|  16.12.2025|  80035828|OSCAVILN    |PLANTILLA PARA COLOREAR                     |        |       500|CC04  |BLO  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    10|  26.09.2025|  80026347|CARLREYV    |SONIDO PROFESIONAL STAKING M.SONIDO         |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    20|  26.09.2025|  80037011|CARLREYV    |ANIMADOR DANIEL BARON DBARON.L              |        |         3|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    30|  26.09.2025|  80029572|CARLREYV    |ANTORCHA/PEBETERO REAL DBARON.L             |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    40|  26.09.2025|  80029531|CARLREYV    |VENTURY X DISPARO DBARON.L                  |        |         2|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    50|  26.09.2025|  80029568|CARLREYV    |ATRIL PRESENTADOR DBARON.L                  |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    60|  26.09.2025|  80029534|CARLREYV    |CRYOJET X TANQUE DBARON.L                   |        |         2|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    70|  26.09.2025|  80037026|CARLREYV    |ESPARKULAR X TANQUE DBARON.L                |        |         2|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    80|  26.09.2025|  80029618|CARLREYV    |SILLA PLASTICA SIN BRAZOS DBARON.L          |        |       412|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|    90|  26.09.2025|  80029620|CARLREYV    |MESA TABLON X 10 DBARON.L                   |        |         4|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   100|  26.09.2025|  80029626|CARLREYV    |MANTEL RECTANGULAR LINO DBARON.L            |        |         4|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   110|  26.09.2025|  80029569|CARLREYV    |BANDERA CON BASE DBARON.L                   |        |         3|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   120|  26.09.2025|  80026382|CARLREYV    |ALQUILER PANTALLA LED PICH3 5X3 M.SONIDO    |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   140|  26.09.2025|  80037007|CARLREYV    |PLANTA ELECTRICA 60-75KW M.SONIDO           |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   150|  26.09.2025|  80026377|CARLREYV    |CARPA HANGAR 12X6 CN LATER S-T M.SONIDO     |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   160|  26.09.2025|  80026376|CARLREYV    |ALQUILER CARPA 6X6 CN LATER S-T M.SONIDO    |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139274|   170|  26.09.2025|  80041968|CARLREYV    |ALQUILER TARIMA 7.20X4.80 DBARON.L          |        |         1|CA82  |RD5  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
|  1300139173|    10|  11.06.2025|  80038759|GONZFERN    |AYB CRISPETAS J.ARIAS                       |        |         1|CE53  |RC2  |        |   |           |          05|Error Consulta  |No se pudo consultar en SAP  |
