-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|CDoc|EL|ProvFijo  |Sol.pedido|Pos.|Fe.solic. |Material |Creado por|Texto breve                             |Pedido    |Cantidad|  PrecioVal.|  Valor tot.|Ce. |GCp||B|Gestores    |Lib|Modif.el  |CeSu|Fe.entrega|Fondo|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|ZSUA|A3|900794379 |1300140120|  20|07.02.2026|95024390 |CARLREYV  |ETIQUETA TERMICA 10X10CM ROLLOX500 VERDE|          |     25 |          1 |         25 |CA03|RD5|| |            |2  |07.02.2026|    |20260208  |     |
|ZSUA|A3|900794379 |1300140122|  20|07.02.2026|95024390 |CARLREYV  |ETIQUETA TERMICA 10X10CM ROLLOX500 VERDE|          |     25 |          1 |         25 |CA03|RD5|| |            |2  |07.02.2026|    |20260208  |     |
|ZSUA|R2|830143877 |1300139394|  10|09.12.2025|80032125 |OSCAVILN  |HARAGANES                               |          |      2 |    170.000 |    340.000 |CA15|RD2|| |            |2  |14.01.2026|    |20251219  |     |
|ZSUA|R2|830143877 |1300139394|  20|09.12.2025|80032127 |OSCAVILN  |ESPUMA DE ABSORCION 50X50               |          |      5 |    160.000 |    800.000 |CA15|RD2|| |            |2  |18.12.2025|    |20251219  |     |
|ZSUA|R2|830143877 |1300139394|  30|09.12.2025|80032126 |OSCAVILN  |CEPILLO CAMPO DE TENIS                  |          |      2 |    140.000 |    280.000 |CA15|RD2|| |            |2  |18.12.2025|    |20251209  |     |
|ZSUA|R2|830143877 |1300139394|  40|09.12.2025|80032128 |OSCAVILN  |CEPILLO LIMPIA LINEAS                   |          |      2 |    480.000 |    960.000 |CA15|RD2|| |            |2  |18.12.2025|    |20251209  |     |
|ZSUA|R2|830143877 |1300139394|  50|09.12.2025|80032129 |OSCAVILN  |MANGUERA DE RIEGO DE 20 MTS             |          |      1 |    840.000 |    840.000 |CA15|RD2|| |            |2  |18.12.2025|    |20251209  |     |
|ZSUA|R2|830143877 |1300139394|  60|09.12.2025|80032130 |OSCAVILN  |ACOPLES E INSTALACION                   |          |      1 |    200.000 |    200.000 |CA15|RD2|| |            |2  |18.12.2025|    |20251209  |     |
|ZSUA|R2|830143877 |1300139394|  70|09.12.2025|80013126 |OSCAVILN  |SERVICIO DE APOYO LOGÍSTICO             |          |     40 |    151.027 |  6.041.080 |CA15|RD2|| |            |2  |18.12.2025|    |20251209  |     |
|ZSUA|A3|          |1300139274|  10|26.09.2025|80026347 |CARLREYV  |SONIDO PROFESIONAL STAKING M.SONIDO     |          |      1 |        100 |        100 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  20|26.09.2025|80037011 |CARLREYV  |ANIMADOR DANIEL BARON DBARON.L          |          |      3 |        300 |        900 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  30|26.09.2025|80029572 |CARLREYV  |ANTORCHA/PEBETERO REAL DBARON.L         |          |      1 |        500 |        500 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  40|26.09.2025|80029531 |CARLREYV  |VENTURY X DISPARO DBARON.L              |          |      2 |        700 |      1.400 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  50|26.09.2025|80029568 |CARLREYV  |ATRIL PRESENTADOR DBARON.L              |          |      1 |        900 |        900 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  60|26.09.2025|80029534 |CARLREYV  |CRYOJET X TANQUE DBARON.L               |          |      2 |      1.100 |      2.200 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  70|26.09.2025|80037026 |CARLREYV  |ESPARKULAR X TANQUE DBARON.L            |          |      2 |      1.300 |      2.600 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  80|26.09.2025|80029618 |CARLREYV  |SILLA PLASTICA SIN BRAZOS DBARON.L      |          |    412 |      1.500 |    618.000 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274|  90|26.09.2025|80029620 |CARLREYV  |MESA TABLON X 10 DBARON.L               |          |      4 |      1.700 |      6.800 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 100|26.09.2025|80029626 |CARLREYV  |MANTEL RECTANGULAR LINO DBARON.L        |          |      4 |      1.900 |      7.600 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 110|26.09.2025|80029569 |CARLREYV  |BANDERA CON BASE DBARON.L               |          |      3 |      2.100 |      6.300 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 120|26.09.2025|80026382 |CARLREYV  |ALQUILER PANTALLA LED PICH3 5X3 M.SONIDO|          |      1 |      2.300 |      2.300 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 140|26.09.2025|80037007 |CARLREYV  |PLANTA ELECTRICA 60-75KW M.SONIDO       |          |      1 |      2.700 |      2.700 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 150|26.09.2025|80026377 |CARLREYV  |CARPA HANGAR 12X6 CN LATER S-T M.SONIDO |          |      1 |      2.900 |      2.900 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 160|26.09.2025|80026376 |CARLREYV  |ALQUILER CARPA 6X6 CN LATER S-T M.SONIDO|          |      1 |      3.100 |      3.100 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSUA|A3|          |1300139274| 170|26.09.2025|80041968 |CARLREYV  |ALQUILER TARIMA 7.20X4.80 DBARON.L      |          |      1 |      3.300 |      3.300 |CA82|RD5|| |            |2  |26.09.2025|    |20251030  |     |
|ZSU3|BR|79465123  |1300139173|  10|11.06.2025|80038759 |GONZFERN  |AYB CRISPETAS J.ARIAS                   |          |      1 |      2.315 |      2.315 |CE53|RC2|| |            |2  |11.06.2025|    |20250619  |     |
|ZSU3|R9|79465123  |1300139103|  10|26.03.2025|80038759 |ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |      5 |      2.315 |     11.575 |CA27|H08|| |            |2  |27.03.2025|    |20250403  |     |
