
=====Solped: 1300139390 Item: 10 Registro: 2025-12-09 23:36:09 =====

--------------------------------------------------------------------------------

=====Solped: 1300139390 Item: 20 Registro: 2025-12-09 23:36:12 =====

--------------------------------------------------------------------------------

=====Solped: 1300139390 Item: 30 Registro: 2025-12-09 23:36:15 =====

--------------------------------------------------------------------------------

=====Solped: 1300139390 Item: 40 Registro: 2025-12-09 23:36:18 =====
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|PurchReq    |Item  |ReqDate     |Material  |Created   |ShortText                                                                                                                                                                                                                                                                                                                                                                                                                            |PO  |Quantity  |Plnt  |PGr  |Blank1  |D  |Requisnr  |ProcState  |Estado                 |Observaciones                                                                  |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  1300139390|    10|  09.12.2025|  80016676|OSCAVILN  |LAVADO MANTEL GRANDE                                                                                                                                                                                                                                                                                                                                                                                                                 |    |       231|CE53  |C53  |        |   |          |         03|Sin Texto              |Texto no encontrado en el editor SAP - No se puede validar                     |
|  1300139390|    20|  09.12.2025|  80019221|OSCAVILN  |LAVADO MULETON                                                                                                                                                                                                                                                                                                                                                                                                                       |    |        20|CE53  |C53  |        |   |          |         03|Sin Texto              |Texto no encontrado en el editor SAP - No se puede validar                     |
|  1300139390|    30|  09.12.2025|  80019225|OSCAVILN  |LAVADO TAPA  GRANDE                                                                                                                                                                                                                                                                                                                                                                                                                  |    |        71|CE53  |C53  |        |   |          |         03|Sin Texto              |Texto no encontrado en el editor SAP - No se puede validar                     |
|  1300139390|    40|  09.12.2025|  80019229|OSCAVILN  |LAVADO TAPA MANTEL LICRA ENCAUCHETADA GR                                                                                                                                                                                                                                                                                                                                                                                             |    |        59|CE53  |C53  |        |   |          |         03|Procesando             |7/7 items requieren verificacion manual                                        |
|  1300139390|    50|  09.12.2025|  80019234|OSCAVILN  |LAVADO CHAQUETA CAPITAN                                                                                                                                                                                                                                                                                                                                                                                                              |    |         1|CE53  |C53  |        |   |          |         03|En Proceso             |7/7 items requieren verificacion manual                                        |
|  1300139390|    60|  09.12.2025|  80019224|OSCAVILN  |LAVADO SERVILLETA                                                                                                                                                                                                                                                                                                                                                                                                                    |    |       229|CE53  |C53  |        |   |          |         03|En Proceso             |7/7 items requieren verificacion manual                                        |
|  1300139390|    70|  09.12.2025|  80019223|OSCAVILN  |LAVADO PETO COCINA                                                                                                                                                                                                                                                                                                                                                                                                                   |    |        78|CE53  |C53  |        |   |          |         03|En Proceso             |7/7 items requieren verificacion manual                                        |
|  1300139391|    40|  09.12.2025|  80004191|OSCAVILN  |CLORO GRANULADO                                                                                                                                                                                                                                                                                                                                                                                                                      |    |        20|CA09  |H01  |        |   |          |         03|Verificar manualmente  |9/10 items requieren verificacion manual                                       |
|  1300139391|    50|  09.12.2025|  80003065|OSCAVILN  |CRISTALIN ALGICIDA                                                                                                                                                                                                                                                                                                                                                                                                                   |    |        20|CA09  |H01  |        |   |          |         03|Verificar manualmente  |9/10 items requieren verificacion manual                                       |
|  1300139391|    60|  09.12.2025|  80009686|OSCAVILN  |CLORO SHOCK                                                                                                                                                                                                                                                                                                                                                                                                                          |    |        20|CA09  |H01  |        |   |          |         03|Verificar manualmente  |9/10 items requieren verificacion manual                                       |
