26/12/2025 08:12:06 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 08:12:08 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
26/12/2025 09:19:14 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 09:19:17 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
26/12/2025 10:41:13 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 10:41:15 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
26/12/2025 14:31:56 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 14:31:57 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
26/12/2025 21:59:17 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 21:59:19 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
26/12/2025 22:22:27 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 22:22:29 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
26/12/2025 22:59:53 | INFO  | AbrirTransaccion | Abrir Transaccion ME21N | WPRUFABRICC1 | CGRPA042
26/12/2025 22:59:55 | INFO  | AbrirTransaccion | Transaccion ME21N abierta | WPRUFABRICC1 | CGRPA042
